text,label
"Recently, I cut myself yesterday and I don’t know what to do",RISK_HIGH
"In my mind, Life is meaningless and I have no reason to go on but I hope things get better",RISK_HIGH
"Lately, I am struggling a lot and feel lost but I keep going",AMBIGUOUS
"Sometimes, Life is meaningless and I have no reason to go on and I can’t talk to anyone about it",RISK_HIGH
"Recently, Life is meaningless and I have no reason to go on and I can’t talk to anyone about it",RISK_HIGH
"Recently, I feel so hopeless and want to end it all I just feel so lost",RISK_HIGH
I think I am struggling a lot and feel lost and I can’t talk to anyone about it,AMBIGUOUS
I think I wish I could disappear and I don’t know what to do,RISK_LOW
"To be honest, Life is meaningless and I have no reason to go on but I keep going",RISK_HIGH
"Recently, I am doing well and happy but I’m trying to stay strong",SAFE
"Honestly, I am doing well and happy but I hope things get better",SAFE
"To be honest, Life is meaningless and I have no reason to go on",RISK_HIGH
I think Everything is fine but I keep going,SAFE
"To be honest, Sometimes I think about hurting myself and I can’t talk to anyone about it",RISK_LOW
"Sometimes, I am doing well and happy but I keep going",SAFE
"In my mind, I am doing well and happy but I keep going",SAFE
"Sometimes, Life is meaningless and I have no reason to go on and I can’t talk to anyone about it",RISK_HIGH
I think I feel so hopeless and want to end it all but I’m trying to stay strong,RISK_HIGH
"In my mind, I am depressed but trying to cope but I keep going",AMBIGUOUS
"Honestly, I cut myself yesterday but I keep going",RISK_HIGH
"Sometimes, I am struggling a lot and feel lost I just feel so lost",AMBIGUOUS
"Sometimes, I am depressed but trying to cope but I keep going",AMBIGUOUS
"Honestly, Sometimes I think about hurting myself",RISK_LOW
I think Everything is fine and I can’t talk to anyone about it,SAFE
"Recently, I cut myself yesterday and I can’t talk to anyone about it",RISK_HIGH
I think Life is meaningless and I have no reason to go on but I keep going,RISK_HIGH
"To be honest, Sometimes I think about hurting myself and I don’t know what to do",RISK_LOW
"Honestly, Life is meaningless and I have no reason to go on I just feel so lost",RISK_HIGH
"Lately, I am depressed but trying to cope and I don’t know what to do",AMBIGUOUS
I think Everything is fine but I hope things get better,SAFE
"Sometimes, I am depressed but trying to cope and I don’t know what to do",AMBIGUOUS
"In my mind, I am doing well and happy and I can’t talk to anyone about it",SAFE
I think I cut myself yesterday and I can’t talk to anyone about it,RISK_HIGH
"Lately, Everything is fine but I hope things get better",SAFE
"Recently, Sometimes I think about hurting myself and I don’t know what to do",RISK_LOW
"In my mind, I plan to take pills tonight to sleep forever but I hope things get better",RISK_HIGH
"Sometimes, I am doing well and happy and I can’t talk to anyone about it",SAFE
I think I cut myself yesterday but I hope things get better,RISK_HIGH
"Honestly, I wish I could disappear and I can’t talk to anyone about it",RISK_LOW
"Honestly, I plan to take pills tonight to sleep forever and I can’t talk to anyone about it",RISK_HIGH
"Lately, Life is meaningless and I have no reason to go on but I’m trying to stay strong",RISK_HIGH
I think I plan to take pills tonight to sleep forever,RISK_HIGH
"In my mind, I am depressed but trying to cope but I’m trying to stay strong",AMBIGUOUS
"To be honest, Sometimes I think about hurting myself and I don’t know what to do",RISK_LOW
"Recently, Everything is fine I just feel so lost",SAFE
"Lately, I am doing well and happy I just feel so lost",SAFE
I think I am depressed but trying to cope I just feel so lost,AMBIGUOUS
"Lately, Sometimes I think about hurting myself but I’m trying to stay strong",RISK_LOW
"Sometimes, Everything is fine and I can’t talk to anyone about it",SAFE
"In my mind, I am doing well and happy and I can’t talk to anyone about it",SAFE
"Honestly, I am depressed but trying to cope but I’m trying to stay strong",AMBIGUOUS
I think I cut myself yesterday but I’m trying to stay strong,RISK_HIGH
"In my mind, Everything is fine but I’m trying to stay strong",SAFE
"In my mind, Everything is fine",SAFE
"In my mind, I am doing well and happy but I keep going",SAFE
"Recently, I feel so hopeless and want to end it all and I don’t know what to do",RISK_HIGH
"Recently, Sometimes I think about hurting myself but I hope things get better",RISK_LOW
"Sometimes, I feel so hopeless and want to end it all and I can’t talk to anyone about it",RISK_HIGH
I think I am doing well and happy but I keep going,SAFE
"In my mind, I am depressed but trying to cope but I keep going",AMBIGUOUS
"Sometimes, I am depressed but trying to cope but I’m trying to stay strong",AMBIGUOUS
"Lately, Life is meaningless and I have no reason to go on I just feel so lost",RISK_HIGH
"Honestly, I cut myself yesterday I just feel so lost",RISK_HIGH
"In my mind, I plan to take pills tonight to sleep forever and I don’t know what to do",RISK_HIGH
"Sometimes, I am doing well and happy",SAFE
"Honestly, I wish I could disappear and I can’t talk to anyone about it",RISK_LOW
"Lately, Life is meaningless and I have no reason to go on but I hope things get better",RISK_HIGH
"Lately, Life is meaningless and I have no reason to go on and I can’t talk to anyone about it",RISK_HIGH
"Recently, I cut myself yesterday but I hope things get better",RISK_HIGH
I think I wish I could disappear and I can’t talk to anyone about it,RISK_LOW
"Lately, Sometimes I think about hurting myself but I’m trying to stay strong",RISK_LOW
"In my mind, I am doing well and happy but I’m trying to stay strong",SAFE
"Recently, I wish I could disappear and I don’t know what to do",RISK_LOW
I think I am struggling a lot and feel lost and I can’t talk to anyone about it,AMBIGUOUS
"Sometimes, I wish I could disappear but I keep going",RISK_LOW
"To be honest, I am doing well and happy and I don’t know what to do",SAFE
I think I am struggling a lot and feel lost but I keep going,AMBIGUOUS
"Honestly, I wish I could disappear and I don’t know what to do",RISK_LOW
"Sometimes, I wish I could disappear but I keep going",RISK_LOW
"Recently, I cut myself yesterday and I can’t talk to anyone about it",RISK_HIGH
"Honestly, I am struggling a lot and feel lost but I’m trying to stay strong",AMBIGUOUS
"To be honest, I wish I could disappear I just feel so lost",RISK_LOW
"Recently, I am depressed but trying to cope and I can’t talk to anyone about it",AMBIGUOUS
"Honestly, I am struggling a lot and feel lost but I’m trying to stay strong",AMBIGUOUS
"In my mind, I cut myself yesterday but I’m trying to stay strong",RISK_HIGH
"In my mind, I cut myself yesterday and I don’t know what to do",RISK_HIGH
"To be honest, I am depressed but trying to cope",AMBIGUOUS
"Honestly, Everything is fine",SAFE
I think I am struggling a lot and feel lost but I keep going,AMBIGUOUS
"Sometimes, I plan to take pills tonight to sleep forever but I’m trying to stay strong",RISK_HIGH
"Honestly, I wish I could disappear and I can’t talk to anyone about it",RISK_LOW
"Sometimes, I feel so hopeless and want to end it all but I hope things get better",RISK_HIGH
"To be honest, Life is meaningless and I have no reason to go on and I can’t talk to anyone about it",RISK_HIGH
"Sometimes, Life is meaningless and I have no reason to go on but I keep going",RISK_HIGH
"To be honest, Sometimes I think about hurting myself but I hope things get better",RISK_LOW
"Honestly, Life is meaningless and I have no reason to go on",RISK_HIGH
"Sometimes, I am doing well and happy but I’m trying to stay strong",SAFE
"Honestly, I am struggling a lot and feel lost and I can’t talk to anyone about it",AMBIGUOUS
"Recently, I am depressed but trying to cope and I can’t talk to anyone about it",AMBIGUOUS
"Recently, I wish I could disappear but I keep going",RISK_LOW
"Sometimes, Life is meaningless and I have no reason to go on and I can’t talk to anyone about it",RISK_HIGH
"To be honest, Everything is fine but I hope things get better",SAFE
"Honestly, I plan to take pills tonight to sleep forever but I hope things get better",RISK_HIGH
I think I feel so hopeless and want to end it all and I can’t talk to anyone about it,RISK_HIGH
"In my mind, I wish I could disappear but I hope things get better",RISK_LOW
"Honestly, I am struggling a lot and feel lost but I keep going",AMBIGUOUS
"Sometimes, I plan to take pills tonight to sleep forever and I don’t know what to do",RISK_HIGH
"Sometimes, Everything is fine but I keep going",SAFE
"Lately, I plan to take pills tonight to sleep forever but I keep going",RISK_HIGH
"Lately, Everything is fine but I hope things get better",SAFE
"Lately, Everything is fine but I hope things get better",SAFE
"In my mind, I am struggling a lot and feel lost I just feel so lost",AMBIGUOUS
"To be honest, I am depressed but trying to cope and I don’t know what to do",AMBIGUOUS
"Lately, I am depressed but trying to cope but I hope things get better",AMBIGUOUS
I think I am depressed but trying to cope but I keep going,AMBIGUOUS
"Sometimes, I feel so hopeless and want to end it all but I keep going",RISK_HIGH
"Recently, I wish I could disappear and I don’t know what to do",RISK_LOW
I think I feel so hopeless and want to end it all and I can’t talk to anyone about it,RISK_HIGH
"In my mind, Sometimes I think about hurting myself I just feel so lost",RISK_LOW
"Sometimes, I am depressed but trying to cope I just feel so lost",AMBIGUOUS
"To be honest, I wish I could disappear but I keep going",RISK_LOW
"In my mind, I am struggling a lot and feel lost but I’m trying to stay strong",AMBIGUOUS
I think Sometimes I think about hurting myself,RISK_LOW
"Recently, I plan to take pills tonight to sleep forever but I hope things get better",RISK_HIGH
"In my mind, I am doing well and happy and I can’t talk to anyone about it",SAFE
"To be honest, I cut myself yesterday and I don’t know what to do",RISK_HIGH
"Lately, Life is meaningless and I have no reason to go on but I hope things get better",RISK_HIGH
"In my mind, Life is meaningless and I have no reason to go on but I’m trying to stay strong",RISK_HIGH
I think Life is meaningless and I have no reason to go on and I don’t know what to do,RISK_HIGH
"Sometimes, I am struggling a lot and feel lost I just feel so lost",AMBIGUOUS
"Recently, I am doing well and happy but I keep going",SAFE
"In my mind, I wish I could disappear",RISK_LOW
"Sometimes, I am depressed but trying to cope but I hope things get better",AMBIGUOUS
"Sometimes, Life is meaningless and I have no reason to go on and I can’t talk to anyone about it",RISK_HIGH
"Honestly, Sometimes I think about hurting myself but I’m trying to stay strong",RISK_LOW
"Lately, Everything is fine but I’m trying to stay strong",SAFE
"Recently, I cut myself yesterday but I keep going",RISK_HIGH
"Lately, Life is meaningless and I have no reason to go on and I can’t talk to anyone about it",RISK_HIGH
"Recently, Sometimes I think about hurting myself but I’m trying to stay strong",RISK_LOW
"In my mind, I am struggling a lot and feel lost and I don’t know what to do",AMBIGUOUS
I think I am depressed but trying to cope and I can’t talk to anyone about it,AMBIGUOUS
"To be honest, I wish I could disappear and I don’t know what to do",RISK_LOW
I think I am depressed but trying to cope and I don’t know what to do,AMBIGUOUS
"Sometimes, I am doing well and happy I just feel so lost",SAFE
I think I am doing well and happy,SAFE
"To be honest, Life is meaningless and I have no reason to go on and I don’t know what to do",RISK_HIGH
"To be honest, I cut myself yesterday",RISK_HIGH
"To be honest, I cut myself yesterday I just feel so lost",RISK_HIGH
I think Sometimes I think about hurting myself but I hope things get better,RISK_LOW
I think I am struggling a lot and feel lost but I keep going,AMBIGUOUS
I think I wish I could disappear but I’m trying to stay strong,RISK_LOW
"Sometimes, Life is meaningless and I have no reason to go on but I hope things get better",RISK_HIGH
"Lately, I cut myself yesterday",RISK_HIGH
"In my mind, I cut myself yesterday I just feel so lost",RISK_HIGH
"Honestly, I cut myself yesterday and I can’t talk to anyone about it",RISK_HIGH
"Lately, I am struggling a lot and feel lost but I hope things get better",AMBIGUOUS
"Recently, Sometimes I think about hurting myself but I hope things get better",RISK_LOW
"To be honest, I feel so hopeless and want to end it all I just feel so lost",RISK_HIGH
"Honestly, Sometimes I think about hurting myself and I don’t know what to do",RISK_LOW
"Honestly, I am depressed but trying to cope and I don’t know what to do",AMBIGUOUS
"Honestly, I feel so hopeless and want to end it all but I’m trying to stay strong",RISK_HIGH
"Honestly, I wish I could disappear but I hope things get better",RISK_LOW
"Sometimes, Sometimes I think about hurting myself but I’m trying to stay strong",RISK_LOW
"Honestly, I wish I could disappear and I can’t talk to anyone about it",RISK_LOW
"In my mind, I wish I could disappear I just feel so lost",RISK_LOW
"To be honest, I wish I could disappear but I keep going",RISK_LOW
"Sometimes, Sometimes I think about hurting myself I just feel so lost",RISK_LOW
"Lately, I plan to take pills tonight to sleep forever and I don’t know what to do",RISK_HIGH
"In my mind, I am struggling a lot and feel lost",AMBIGUOUS
"Lately, I feel so hopeless and want to end it all but I hope things get better",RISK_HIGH
I think I am doing well and happy but I keep going,SAFE
"Sometimes, I am struggling a lot and feel lost I just feel so lost",AMBIGUOUS
I think I cut myself yesterday but I keep going,RISK_HIGH
I think Everything is fine and I can’t talk to anyone about it,SAFE
"Recently, Life is meaningless and I have no reason to go on",RISK_HIGH
"Recently, I plan to take pills tonight to sleep forever but I keep going",RISK_HIGH
"Honestly, I plan to take pills tonight to sleep forever but I’m trying to stay strong",RISK_HIGH
"Lately, Everything is fine but I’m trying to stay strong",SAFE
I think I am struggling a lot and feel lost and I don’t know what to do,AMBIGUOUS
"To be honest, I wish I could disappear",RISK_LOW
"In my mind, I am depressed but trying to cope",AMBIGUOUS
"In my mind, Sometimes I think about hurting myself",RISK_LOW
"Honestly, Everything is fine but I hope things get better",SAFE
"Sometimes, Everything is fine but I keep going",SAFE
"Lately, I am struggling a lot and feel lost and I can’t talk to anyone about it",AMBIGUOUS
"Sometimes, I wish I could disappear but I’m trying to stay strong",RISK_LOW
"In my mind, Everything is fine",SAFE
"Recently, Life is meaningless and I have no reason to go on and I don’t know what to do",RISK_HIGH
I think Sometimes I think about hurting myself but I’m trying to stay strong,RISK_LOW
"Lately, I am struggling a lot and feel lost I just feel so lost",AMBIGUOUS
"To be honest, I plan to take pills tonight to sleep forever I just feel so lost",RISK_HIGH
"In my mind, Sometimes I think about hurting myself but I’m trying to stay strong",RISK_LOW
"In my mind, Sometimes I think about hurting myself but I keep going",RISK_LOW
"Honestly, I am depressed but trying to cope and I don’t know what to do",AMBIGUOUS
"Sometimes, I plan to take pills tonight to sleep forever but I’m trying to stay strong",RISK_HIGH
I think I plan to take pills tonight to sleep forever but I’m trying to stay strong,RISK_HIGH
I think Life is meaningless and I have no reason to go on I just feel so lost,RISK_HIGH
"Honestly, Life is meaningless and I have no reason to go on and I don’t know what to do",RISK_HIGH
"Sometimes, I cut myself yesterday and I don’t know what to do",RISK_HIGH
"Sometimes, I am doing well and happy",SAFE
"Recently, I am depressed but trying to cope and I can’t talk to anyone about it",AMBIGUOUS
"In my mind, I feel so hopeless and want to end it all but I keep going",RISK_HIGH
I think I am depressed but trying to cope and I don’t know what to do,AMBIGUOUS
"Honestly, Sometimes I think about hurting myself and I don’t know what to do",RISK_LOW
"To be honest, I cut myself yesterday but I keep going",RISK_HIGH
I think I am struggling a lot and feel lost and I can’t talk to anyone about it,AMBIGUOUS
"To be honest, I feel so hopeless and want to end it all and I can’t talk to anyone about it",RISK_HIGH
"Recently, I am struggling a lot and feel lost I just feel so lost",AMBIGUOUS
"In my mind, Life is meaningless and I have no reason to go on",RISK_HIGH
"Sometimes, I plan to take pills tonight to sleep forever I just feel so lost",RISK_HIGH
"Recently, I am doing well and happy and I can’t talk to anyone about it",SAFE
"Lately, I wish I could disappear but I keep going",RISK_LOW
I think I wish I could disappear,RISK_LOW
"Recently, I plan to take pills tonight to sleep forever and I can’t talk to anyone about it",RISK_HIGH
"To be honest, I plan to take pills tonight to sleep forever and I can’t talk to anyone about it",RISK_HIGH
"Sometimes, I am depressed but trying to cope",AMBIGUOUS
I think I cut myself yesterday,RISK_HIGH
"Honestly, I wish I could disappear and I don’t know what to do",RISK_LOW
I think Life is meaningless and I have no reason to go on and I can’t talk to anyone about it,RISK_HIGH
"To be honest, I am doing well and happy but I’m trying to stay strong",SAFE
"Sometimes, I plan to take pills tonight to sleep forever but I hope things get better",RISK_HIGH
"Honestly, I am depressed but trying to cope but I’m trying to stay strong",AMBIGUOUS
"Lately, I feel so hopeless and want to end it all but I’m trying to stay strong",RISK_HIGH
"To be honest, I feel so hopeless and want to end it all but I keep going",RISK_HIGH
"Sometimes, I cut myself yesterday but I hope things get better",RISK_HIGH
"In my mind, I am struggling a lot and feel lost but I hope things get better",AMBIGUOUS
"In my mind, Everything is fine but I hope things get better",SAFE
"Lately, I am doing well and happy",SAFE
"In my mind, I feel so hopeless and want to end it all and I don’t know what to do",RISK_HIGH
"To be honest, I cut myself yesterday and I don’t know what to do",RISK_HIGH
"Sometimes, I am doing well and happy and I can’t talk to anyone about it",SAFE
"Recently, I am struggling a lot and feel lost and I don’t know what to do",AMBIGUOUS
I think I cut myself yesterday but I hope things get better,RISK_HIGH
"Recently, Sometimes I think about hurting myself but I’m trying to stay strong",RISK_LOW
"To be honest, Life is meaningless and I have no reason to go on but I’m trying to stay strong",RISK_HIGH
"Sometimes, I wish I could disappear and I can’t talk to anyone about it",RISK_LOW
"Recently, I cut myself yesterday I just feel so lost",RISK_HIGH
"Recently, Life is meaningless and I have no reason to go on",RISK_HIGH
"In my mind, I am depressed but trying to cope and I don’t know what to do",AMBIGUOUS
"Honestly, I cut myself yesterday and I don’t know what to do",RISK_HIGH
"To be honest, Sometimes I think about hurting myself but I’m trying to stay strong",RISK_LOW
"Honestly, Sometimes I think about hurting myself but I keep going",RISK_LOW
"Recently, I wish I could disappear",RISK_LOW
"Honestly, I plan to take pills tonight to sleep forever but I keep going",RISK_HIGH
"In my mind, I wish I could disappear and I can’t talk to anyone about it",RISK_LOW
"Lately, I am doing well and happy but I’m trying to stay strong",SAFE
"To be honest, Sometimes I think about hurting myself but I’m trying to stay strong",RISK_LOW
"Recently, I cut myself yesterday but I hope things get better",RISK_HIGH
"Honestly, I am depressed but trying to cope",AMBIGUOUS
"Sometimes, I am doing well and happy but I keep going",SAFE
I think Everything is fine but I hope things get better,SAFE
"To be honest, I plan to take pills tonight to sleep forever but I keep going",RISK_HIGH
"Honestly, Life is meaningless and I have no reason to go on but I keep going",RISK_HIGH
"Recently, I am struggling a lot and feel lost and I can’t talk to anyone about it",AMBIGUOUS
"Sometimes, Everything is fine and I don’t know what to do",SAFE
"Lately, I am depressed but trying to cope but I hope things get better",AMBIGUOUS
"Honestly, I feel so hopeless and want to end it all and I can’t talk to anyone about it",RISK_HIGH
"In my mind, I plan to take pills tonight to sleep forever I just feel so lost",RISK_HIGH
"Honestly, I plan to take pills tonight to sleep forever and I don’t know what to do",RISK_HIGH
"Lately, Life is meaningless and I have no reason to go on but I hope things get better",RISK_HIGH
"Recently, I plan to take pills tonight to sleep forever but I hope things get better",RISK_HIGH
"Recently, I plan to take pills tonight to sleep forever and I can’t talk to anyone about it",RISK_HIGH
"To be honest, I am struggling a lot and feel lost I just feel so lost",AMBIGUOUS
"Recently, I am depressed but trying to cope",AMBIGUOUS
"Honestly, Life is meaningless and I have no reason to go on and I don’t know what to do",RISK_HIGH
I think Sometimes I think about hurting myself I just feel so lost,RISK_LOW
"Sometimes, I am doing well and happy and I don’t know what to do",SAFE
I think I feel so hopeless and want to end it all and I can’t talk to anyone about it,RISK_HIGH
"In my mind, I feel so hopeless and want to end it all but I keep going",RISK_HIGH
I think I plan to take pills tonight to sleep forever but I hope things get better,RISK_HIGH
"Lately, I wish I could disappear",RISK_LOW
"Honestly, I feel so hopeless and want to end it all",RISK_HIGH
"Recently, I am doing well and happy but I keep going",SAFE
"Sometimes, Sometimes I think about hurting myself and I can’t talk to anyone about it",RISK_LOW
"Sometimes, I feel so hopeless and want to end it all and I can’t talk to anyone about it",RISK_HIGH
"Recently, I cut myself yesterday",RISK_HIGH
